service_id,date,exception_type
308152,20250508,1
341352,20250508,1
308152,20250509,1
341352,20250509,1
308055,20250511,1
308052,20250512,1
341252,20250512,1
308052,20250513,1
341352,20250513,1
308152,20250514,1
341352,20250514,1
308152,20250515,1
341352,20250515,1
308152,20250516,1
341352,20250516,1
308055,20250518,1
308052,20250519,1
341252,20250519,1
308052,20250520,1
341352,20250520,1
308152,20250521,1
341352,20250521,1
308152,20250522,1
341352,20250522,1
308152,20250523,1
341352,20250523,1
308155,20250525,1
308155,20250526,1
55,20250526,1
52,20250526,2
308152,20250527,1
341352,20250527,1
308152,20250528,1
341352,20250528,1
308152,20250529,1
341352,20250529,1
308152,20250530,1
341352,20250530,1
308055,20250601,1
308052,20250602,1
341252,20250602,1
308052,20250603,1
341352,20250603,1
308152,20250604,1
341352,20250604,1
308152,20250605,1
341352,20250605,1
308152,20250606,1
341352,20250606,1
308055,20250608,1
308052,20250609,1
341252,20250609,1
308052,20250610,1
341352,20250610,1
308152,20250611,1
341352,20250611,1
308152,20250612,1
341352,20250612,1
308152,20250613,1
341352,20250613,1
